"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1450678_at",-13.1150236270706,12.1261893575495,-22.1608801149319,3.97242377704642e-17,9.74673571981998e-14,24.7529860713457
"1434376_at",-13.2301353365508,12.3261076101306,-21.9653129504618,4.83692371530087e-17,9.74673571981998e-14,24.6364856638935
"1448752_at",-13.7226676148285,13.4991270881095,-21.5381862478862,7.47779311571644e-17,9.74673571981998e-14,24.3757179437849
"1418625_s_at",-13.7247233418905,12.9824179572854,-21.2584163257407,9.98988094793129e-17,9.74673571981998e-14,24.2000745277436
"1460218_at",-12.8685941822459,12.334894248761,-20.9235363683642,1.41942530336193e-16,9.74673571981998e-14,23.9846273666194
"1449574_a_at",-12.1086780528496,11.0853164542037,-20.8938627990607,1.46465859098823e-16,9.74673571981998e-14,23.9652575200705
"1452954_at",-12.9367176755381,12.9591694769561,-20.8635226128776,1.51246176100066e-16,9.74673571981998e-14,23.9454049499646
"1450919_at",-13.5609397938918,13.0239520864182,-20.3150088016831,2.7230328655805e-16,1.17794037353723e-13,23.5780350760598
"1417240_at",-12.6924521521008,11.8206665861131,-20.217637647485,3.02713809573671e-16,1.17794037353723e-13,23.5111081762125
"1451386_at",-12.2690671388088,11.8932821899768,-20.1609821426855,3.22015563610866e-16,1.17794037353723e-13,23.4719237684668
"1424854_at",-12.0624337003066,11.035997560551,-20.1409902014469,3.29128605492266e-16,1.17794037353723e-13,23.4580539324841
"1457780_at",-11.8597366662771,10.6813481425752,-20.1289309242793,3.33498129100484e-16,1.17794037353723e-13,23.4496767012554
"1427347_s_at",-12.3591667778318,11.3402394870119,-20.0676552543476,3.56652255691165e-16,1.17794037353723e-13,23.406983741483
"1438664_at",-12.1040485797219,10.7214538254925,-20.0153899524554,3.77722601155542e-16,1.17794037353723e-13,23.3704008708698
"1416340_a_at",-11.5250266777215,10.848862167917,-19.9127581488959,4.22954137460681e-16,1.17794037353723e-13,23.2981116562878
"1416304_at",-12.1347536248502,11.0714868205727,-19.8592076259201,4.48758686111498e-16,1.17794037353723e-13,23.260153410615
"1448591_at",-13.1512067685419,12.4373423468056,-19.8447843001062,4.55985243185189e-16,1.17794037353723e-13,23.2499014680178
"1423833_a_at",-12.2254686129294,11.8516628382496,-19.7984346690728,4.80038927559654e-16,1.17794037353723e-13,23.2168751964229
"1424105_a_at",-13.0778507877926,12.9346018088068,-19.7687404706792,4.96139815943415e-16,1.17794037353723e-13,23.1956512055822
"1448503_at",-12.2619350002301,11.6919780886534,-19.6137522044832,5.89793367155902e-16,1.25283014618372e-13,23.0840366562467
"1418854_at",-12.1223622954299,10.7301100167559,-19.543589801537,6.38071566606635e-16,1.25283014618372e-13,23.0330439417409
"1422699_at",-12.5694024188233,11.6035256638261,-19.5291151339566,6.48533222252628e-16,1.25283014618372e-13,23.0224876564831
"1453228_at",-11.8795760616826,10.9314813699824,-19.5194480851372,6.55619418378384e-16,1.25283014618372e-13,23.0154305884375
"1451050_at",-12.1932375942882,12.0434519049672,-19.5047520110426,6.66546741485463e-16,1.25283014618372e-13,23.0046915935275
"1449243_a_at",-11.6439651948566,12.5035262903282,-19.4477799176908,7.10732445598158e-16,1.28244562483732e-13,22.9629378085106
"1424000_a_at",-11.3298310342401,12.2977299202367,-19.3303164399929,8.11725135691615e-16,1.38164989254815e-13,22.8762347855549
"1426624_a_at",-12.3991236521314,12.289531812424,-19.3139187939309,8.26968457078253e-16,1.38164989254815e-13,22.8640648106011
"1437005_a_at",-11.6054809737395,12.7669487476219,-19.1882092967043,9.54191100645899e-16,1.53727001964773e-13,22.7702208497814
"1423760_at",-12.0510822965155,11.0939347080823,-19.1408576845427,1.00725162278206e-15,1.56679726564478e-13,22.7346205955833
"1417462_at",-11.4332917174259,10.4153061132718,-19.054950052327,1.11149966143036e-15,1.67132499090412e-13,22.669678439594
"1429184_at",-12.8233852789056,11.2243832964041,-19.002331424275,1.18084047920425e-15,1.70296529460492e-13,22.6296741954227
"1456080_a_at",-12.4298024821561,11.8606121690656,-18.9613560780161,1.23794730505672e-15,1.70296529460492e-13,22.5984018246148
"1435386_at",-11.929941553439,11.1127520433113,-18.9336523729759,1.27817976808851e-15,1.70296529460492e-13,22.5771985285017
"1426416_a_at",-12.7932088429997,12.2001684270018,-18.9300250663981,1.2835473291192e-15,1.70296529460492e-13,22.5744187521659
"1416592_at",-11.5482700472338,10.4874933155463,-18.9021706604764,1.32555485310049e-15,1.70845084066752e-13,22.5530449099213
"1448149_at",-10.8127515990485,9.49305639606158,-18.8711465797666,1.37403079545785e-15,1.72173692175287e-13,22.5291810362168
"1455572_x_at",-11.342779742476,12.4976143973326,-18.7925016320999,1.50536011688414e-15,1.79431930901915e-13,22.4684127883251
"1438030_at",-10.3024155278775,9.72340337280926,-18.7889969016788,1.51150817430122e-15,1.79431930901915e-13,22.4656955286336
"1426662_at",-12.8725248044439,12.8487136013545,-18.7432403827813,1.59421530075763e-15,1.84388197489373e-13,22.4301477358908
"1452657_at",-10.8401574508215,10.0726516069011,-18.7070130894817,1.66303115779461e-15,1.84388197489373e-13,22.401907689317
"1447329_at",-11.3801543715829,11.6074822733828,-18.7004195755713,1.67588474774202e-15,1.84388197489373e-13,22.3967587901015
