"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1450678_at",-12.9381795734253,12.1261893575495,-21.862060990902,5.37028928790595e-17,8.70667013221127e-14,24.5742515314659
"1450753_at",-11.4455452093686,9.44608485752171,-21.4277792618344,8.37983023098746e-17,8.70667013221127e-14,24.3068682523458
"1452954_at",-13.2755201266044,12.9591694769561,-21.4099218446152,8.53605064838695e-17,8.70667013221127e-14,24.2956756560511
"1448752_at",-13.4968904656398,13.4991270881095,-21.1838214533554,1.07982214731214e-16,8.70667013221127e-14,24.1525799162348
"1434376_at",-12.7321370568899,12.3261076101306,-21.1385120309486,1.13221868135571e-16,8.70667013221127e-14,24.1235933979213
"1418625_s_at",-13.6334001344177,12.9824179572854,-21.1169645298612,1.15805854119414e-16,8.70667013221127e-14,24.1097717214921
"1460218_at",-12.781548591661,12.334894248761,-20.7820056343528,1.64911256716052e-16,1.06273525578016e-13,23.8918263998383
"1448591_at",-13.5909770493005,12.4373423468056,-20.508384722246,2.2096489376247e-16,1.12115405295406e-13,23.7094018221624
"1449574_a_at",-11.8786936290176,11.0853164542037,-20.4970182404316,2.23684027412691e-16,1.12115405295406e-13,23.7017366404453
"1449243_a_at",-12.1615710053804,12.5035262903282,-20.3122864426359,2.73108810039071e-16,1.13756080063868e-13,23.576171033339
"1437005_a_at",-12.2551792751243,12.7669487476219,-20.2624040685446,2.88315897346986e-16,1.13756080063868e-13,23.541943184207
"1424000_a_at",-11.824844467327,12.2977299202367,-20.1748803416698,3.17165057183817e-16,1.13756080063868e-13,23.4815527377949
"1451386_at",-12.2591060924318,11.8932821899768,-20.1446137851033,3.27827320068785e-16,1.13756080063868e-13,23.4605695351758
"1455572_x_at",-12.0207578576634,12.4976143973326,-19.9157628718889,4.21552803924573e-16,1.33197051597383e-13,23.3002366104727
"1423833_a_at",-12.235065476734,11.8516628382496,-19.8139762312884,4.71829627672541e-16,1.33197051597383e-13,23.2279631503529
"1424105_a_at",-13.1070120409278,12.9346018088068,-19.8128212033916,4.72434676470435e-16,1.33197051597383e-13,23.2271395903403
"1456071_a_at",-11.6068881211438,10.5276997549205,-19.7314028711846,5.17186254717011e-16,1.37236893825202e-13,23.1688912237983
"1416546_a_at",-11.4365309520009,11.8609671163984,-19.4883249262742,6.78985782853075e-16,1.61644172740237e-13,22.9926724186692
"1450919_at",-13.0074901057616,13.0239520864182,-19.4859117437698,6.80833358914763e-16,1.61644172740237e-13,22.9909054111246
"1448503_at",-12.1512695118942,11.6919780886534,-19.4367356515683,7.19645022176113e-16,1.62315934751822e-13,22.9548211571195
"1416340_a_at",-11.1979203020965,10.848862167917,-19.347588945481,7.9598436067206e-16,1.68987528024516e-13,22.8890364068709
"1424854_at",-11.5387563410302,11.035997560551,-19.2665911519716,8.72657573622635e-16,1.68987528024516e-13,22.8288474699691
"1417240_at",-12.0861156866441,11.8206665861131,-19.2518123834497,8.87456788783982e-16,1.68987528024516e-13,22.8178223174679
"1447329_at",-11.7087565538954,11.6074822733828,-19.2403945602724,8.99069091684411e-16,1.68987528024516e-13,22.8092953249163
"1448279_at",-10.298376848361,8.29128992616674,-19.1070661290662,1.04698791487585e-15,1.81211987665841e-13,22.7091304226605
"1457780_at",-11.251400422521,10.6813481425752,-19.0964326004235,1.05982680362177e-15,1.81211987665841e-13,22.7010945300195
"1451050_at",-11.9253766447375,12.0434519049672,-19.0762717691028,1.08462063111898e-15,1.81211987665841e-13,22.6858394484871
"1416304_at",-11.588780898698,11.0714868205727,-18.9656925153586,1.23177001132787e-15,1.98446947182144e-13,22.6017163837397
"1453228_at",-11.5029136223524,10.9314813699824,-18.9005503322248,1.32804208519852e-15,2.00395260546546e-13,22.5518000547808
"1426624_a_at",-12.1318028782228,12.289531812424,-18.8975174526704,1.33271066645896e-15,2.00395260546546e-13,22.5494695273392
"1426083_a_at",-11.4124685267854,12.1275637076337,-18.7868465283167,1.51529332133757e-15,2.17736086201894e-13,22.464027929234
"1418989_at",-11.3615362228347,11.7366743428958,-18.7704006662488,1.54456988660178e-15,2.17736086201894e-13,22.4512644878412
"1429184_at",-12.6326207799609,11.2243832964041,-18.7196470820291,1.63868779980428e-15,2.17846249848208e-13,22.4117657880055
"1418854_at",-11.5989768907763,10.7301100167559,-18.6997914223615,1.67711466829643e-15,2.17846249848208e-13,22.3962681165959
"1451068_s_at",-11.6834211371741,12.2467611435538,-18.6428183907699,1.79266693217094e-15,2.17846249848208e-13,22.3516582917123
"1448739_x_at",-12.1948728273554,12.7052875369145,-18.5948942303164,1.89627281542679e-15,2.17846249848208e-13,22.3139706356227
"1423760_at",-11.7025229178801,11.0939347080823,-18.5872372464014,1.91339482884839e-15,2.17846249848208e-13,22.3079353109808
"1426662_at",-12.7503921046701,12.8487136013545,-18.5654071616196,1.96309827923042e-15,2.17846249848208e-13,22.2907075699577
"1433510_x_at",-10.702966011678,11.089615055242,-18.5623439097898,1.97017950756514e-15,2.17846249848208e-13,22.2882876387279
"1452716_at",-12.0714419569095,12.6079861027641,-18.5582304662522,1.97973025606957e-15,2.17846249848208e-13,22.2850371034314
"1425548_a_at",-11.7893214478237,10.5963158311863,-18.5446007316343,2.01172193800466e-15,2.17846249848208e-13,22.2742586665046
"1452666_a_at",-11.2630509703181,11.9545026657938,-18.5376372748303,2.0282736629627e-15,2.17846249848208e-13,22.2687472458628
"1427347_s_at",-11.3754127892034,11.3402394870119,-18.4703278411199,2.19576053473214e-15,2.30350599352946e-13,22.2153091098502
"1452657_at",-10.6522295362922,10.0726516069011,-18.3827032284003,2.4356174769736e-15,2.38057367181502e-13,22.1452940866003
"1415716_a_at",-12.4486518673279,12.7952590830544,-18.3563242287885,2.51304490340307e-15,2.38057367181502e-13,22.1241164815663
"1437497_a_at",-10.3081020673371,9.42106876895776,-18.3510813598445,2.52873636652531e-15,2.38057367181502e-13,22.119901869829
"1422699_at",-11.7999456348521,11.6035256638261,-18.3336080108595,2.58177253718998e-15,2.38057367181502e-13,22.1058422227932
"1415983_at",-12.4569155587236,11.623528442655,-18.3326099972147,2.58483648313786e-15,2.38057367181502e-13,22.1050385711138
"1416979_at",-11.0767239391746,9.9594641649399,-18.3322771332355,2.585859231189e-15,2.38057367181502e-13,22.1047705171807
"1417615_a_at",-11.1121411540401,11.6300158358706,-18.3093530615095,2.65731770057392e-15,2.39743202945779e-13,22.0862920154441
"AFFX-GapdhMur/M32599_3_at",-12.8870488825035,12.1793719905471,-18.2356179676533,2.90141904902077e-15,2.56633359414367e-13,22.026616750022
